First Name,Last Name,Club,Position(s),Base Salary,Guaranteed Compensation
Stian,Gregersen,Atlanta United,Center-back,"$1,000,000.00","$1,120,000.00"
Ján,Greguš,Houston Dynamo,Central Midfield,"$150,000.00","$170,313.00"
Julian,Gressel,Inter Miami,Right Midfield,"$1,092,069.00","$1,092,069.00"
Carlos,Gruezo,San Jose Earthquakes,Defensive Midfield,"$1,460,000.00","$1,681,086.00"
Brian,Gutiérrez,Chicago Fire,Attacking Midfield,"$803,409.00","$895,879.00"
Andrew,Gutman,Chicago Fire,Left-back,"$600,000.00","$600,000.00"
Brad,Guzan,Atlanta United,Goalkeeper,"$600,000.00","$612,500.00"
Stephen Annor,Gyamfi,Houston Dynamo,Forward,"$71,401.00","$85,151.00"
Justin,Haak,New York City FC,Central Midfield,"$150,000.00","$165,000.00"
Taha,Habroune,Columbus Crew,Central Midfield,"$71,401.00","$83,401.00"
Nicholas,Hagen,Columbus Crew,Goalkeeper,"$89,716.00","$100,340.00"
Nick,Hagglund,FC Cincinnati,Center-back,"$89,716.00","$103,237.00"
Maren,Haile-Selassie,Chicago Fire,Left Midfield,"$344,000.00","$383,500.00"
Belal,Halbouni,Vancouver Whitecaps,Center-back,"$110,000.00","$110,000.00"
Julian,Hall,New York Red Bulls,Left Wing,"$100,000.00","$182,241.00"
Tyler,Hall,Inter Miami,Center-back,"$71,401.00","$71,401.00"
Michael,Halliday,Orlando City SC,Right-back,"$200,000.00","$227,500.00"
Bret,Halsey,FC Cincinnati,Right-back,"$89,716.00","$98,466.00"
Ian,Harkes,New England Revolution,Central Midfield,"$275,000.00","$286,583.00"
Cameron,Harper,New York Red Bulls,Right Wing,"$300,000.00","$351,250.00"
Nathan,Harriel,Philadelphia Union,Right-back,"$240,000.00","$262,050.00"
Calvin,Harris,Colorado Rapids,Left Wing,"$125,000.00","$127,000.00"
Carlos,Harvey,Minnesota United,Defensive Midfield,"$71,401.00","$81,028.00"
Stuart,Hawkins,Seattle Sounders FC,Center-back,"$71,401.00","$83,422.00"
Matt,Hedges,Austin FC,Center-back,"$428,313.00","$560,922.00"
Malik,Henry-Scott,FC Dallas,Midfielder,"$71,401.00","$71,401.00"
Fabian,Herbers,Chicago Fire,Right Wing,"$400,000.00","$421,250.00"
Cucho,Hernández,Columbus Crew,Center Forward,"$2,600,000.00","$2,886,000.00"
Felipe,Hernández,Sporting Kansas City,Central Midfield,"$225,000.00","$257,000.00"
Ronald,Hernández,Atlanta United,Right-back,"$450,000.00","$450,000.00"
Aarón,Herrera,DC United,Right-back,"$750,000.00","$845,220.00"
Héctor,Herrera,Houston Dynamo,Central Midfield,"$4,750,000.00","$5,246,875.00"
Bode,Hidalgo,Real Salt Lake,Right-back,"$125,000.00","$129,294.00"
Kyle,Hiebert,St. Louis City SC,Center-back,"$159,996.00","$188,996.00"
Brendan,Hines-Ike,Austin FC,Center-back,"$199,992.00","$199,992.00"
Marino,Hinestroza,Columbus Crew,Left Wing,"$500,000.00","$574,750.00"
Bongokuhle,Hlongwane,Minnesota United,Right Wing,"$605,000.00","$655,000.00"
Ryan,Hollingshead,LAFC,Left-back,"$645,000.00","$645,000.00"
Erik,Holt,Real Salt Lake,Center-back,"$225,000.00","$243,750.00"
Rio,Hope-Gund,New York City FC,Center-back,"$89,716.00","$89,716.00"
Jackson,Hopkins,DC United,Center Forward,"$89,716.00","$90,002.00"
Keegan,Hughes,Columbus Crew,Center-back,"$89,716.00","$89,716.00"
Franco,Ibarra,Atlanta United,Defensive Midfield,"$600,000.00","$660,000.00"
Sebastien,Ibeagha,FC Dallas,Center-back,"$620,000.00","$683,625.00"
Sunusi,Ibrahim,CF Montreal,Center Forward,"$350,000.00","$410,000.00"
Tega,Ikoba,Portland Timbers,Center Forward,"$104,000.00","$104,000.00"
Mitja,Ilenic,New York City FC,Right-back,"$240,000.00","$331,700.00"
Ilias,Iliadis,CF Montreal,Defensive Midfield,"$89,716.00","$96,591.00"
Marko,Ilic,Colorado Rapids,Goalkeeper,"$420,000.00","$442,850.00"
Asier,Illarramendi,FC Dallas,Defensive Midfield,"$500,000.00","$549,750.00"
Lorenzo,Insigne,Toronto FC,Left Wing,"$7,500,000.00","$15,400,000.00"
Clint,Irwin,Minnesota United,Goalkeeper,"$190,000.00","$203,533.00"
Aljaz,Ivacic,New England Revolution,Goalkeeper,"$385,000.00","$470,000.00"
Ousman,Jabang,CF Montreal,Defensive Midfield,"$71,401.00","$71,401.00"
Jacob,Jackson,New England Revolution,Goalkeeper,"$89,716.00","$89,716.00"
Aziel,Jackson,St. Louis City SC,Attacking Midfield,"$98,261.00","$102,243.00"
Bertin,Jacquesson,Real Salt Lake,Right Wing,"$89,716.00","$97,042.00"
Robin,Jansson,Orlando City SC,Center-back,"$850,000.00","$946,667.00"
Andres,Jasson,New York City FC,Right Wing,"$270,000.00","$287,144.00"
Mohanad,Jeahze,DC United,Left-back,"$687,500.00","$687,500.00"
Corentin,Jean,MLS Pool,Center Forward,"$720,000.00","$788,400.00"
Isak,Jensen,St. Louis City SC,Left Wing,"$175,000.00","$228,250.00"
Cole,Jensen,Inter Miami,Goalkeeper,"$71,401.00","$71,401.00"
Sang-bin,Jeong,Minnesota United,Center Forward,"$575,750.00","$682,458.00"
Héctor,Jiménez,Austin FC,Right-back,"$89,716.00","$89,716.00"
Stiven,Jimenez,FC Cincinnati,Defensive Midfield,"$89,716.00","$89,716.00"
Sean,Johnson,Toronto FC,Goalkeeper,"$426,039.00","$703,301.00"
Levonte,Johnson,Vancouver Whitecaps,Left Wing,"$89,716.00","$89,716.00"
Nate,Jones,Colorado Rapids,Center-back,"$71,401.00","$71,401.00"
Isaiah,Jones,Nashville SC,Central Midfield,"$71,401.00","$75,401.00"
Derrick,Jones,Columbus Crew,Central Midfield,"$325,000.00","$347,969.00"
DeJuan,Jones,New England Revolution,Left-back,"$786,996.00","$793,246.00"
Malachi,Jones,New York City FC,Forward,"$71,401.00","$71,401.00"
Dejan,Joveljic,LA Galaxy,Center Forward,"$683,750.00","$683,750.00"
Preston,Judd,San Jose Earthquakes,Center Forward,"$89,716.00","$89,716.00"
Anderson,Julio,Real Salt Lake,Right Wing,"$750,000.00","$820,000.00"
Sam,Junqua,FC Dallas,Left-back,"$200,000.00","$212,368.00"
Kristijan,Kahlina,Charlotte FC,Goalkeeper,"$550,000.00","$576,875.00"
Brent,Kallman,Nashville SC,Center-back,"$89,716.00","$89,716.00"
Kei,Kamara,LAFC,Center Forward,"$89,716.00","$89,716.00"
Bernard,Kamungo,FC Dallas,Right Wing,"$89,716.00","$89,716.00"
Alec,Kann,FC Cincinnati,Goalkeeper,"$250,000.00","$270,833.00"
Alexandros,Katranis,Real Salt Lake,Left-back,"$400,000.00","$469,875.00"
Mark-Anthony,Kaye,New England Revolution,Central Midfield,"$750,000.00","$750,000.00"
Axel,Kei,Real Salt Lake,Center Forward,"$110,000.00","$126,000.00"
Aboubacar,Keita,Colorado Rapids,Center-back,"$240,000.00","$270,313.00"
Kipp,Keller,FC Cincinnati,Center-back,"$89,716.00","$99,716.00"
Deandre,Kerr,Toronto FC,Right Wing,"$100,000.00","$105,319.00"
Henry,Kessler,New England Revolution,Center-back,"$1,000,000.00","$1,033,333.00"
Logan,Ketterer,CF Montreal,Goalkeeper,"$92,610.00","$92,610.00"
Hosei,Kijima,St. Louis City SC,Central Midfield,"$71,401.00","$71,401.00"
Benjamin,Kikanović,San Jose Earthquakes,Left Wing,"$292,000.00","$328,700.00"
Sota,Kitahara,Seattle Sounders FC,Defensive Midfield,"$71,401.00","$73,901.00"
João,Klauss de Mello,St. Louis City SC,Center Forward,"$1,230,000.00","$1,370,284.00"
Mateusz,Klich,DC United,Central Midfield,"$1,900,000.00","$2,093,588.00"
Jeorgio,Kocevski,Orlando City SC,Central Midfield,"$71,401.00","$71,401.00"
Zan,Kolmanic,Austin FC,Left-back,"$350,000.00","$350,000.00"
Amet,Korça,FC Dallas,Center-back,"$71,401.00","$71,401.00"
Georgios,Koutsias,Chicago Fire,Center Forward,"$470,800.00","$470,800.00"
Sebastian,Kowalczyk,Houston Dynamo,Attacking Midfield,"$461,000.00","$530,618.00"
Damir,Kreilach,Vancouver Whitecaps,Central Midfield,"$440,000.00","$440,000.00"
Sergiy,Kryvtsov,Inter Miami,Center-back,"$750,000.00","$809,000.00"
Theodore,Ku-DiPietro,DC United,Attacking Midfield,"$120,000.00","$120,000.00"
Yuya,Kubo,FC Cincinnati,Attacking Midfield,"$1,364,000.00","$1,479,750.00"
Jasper,Löffelsend,Colorado Rapids,Central Midfield,"$230,000.00","$255,833.00"
Eduard,Löwen,St. Louis City SC,Central Midfield,"$1,200,000.00","$1,344,250.00"
Mathías,Laborda,Vancouver Whitecaps,Center-back,"$800,000.00","$943,625.00"
Kevon,Lambert,Real Salt Lake,Defensive Midfield,"$180,000.00","$198,150.00"
Lassi,Lappalainen,CF Montreal,Left Wing,"$720,000.00","$750,000.00"
Oliver,Larraz,Colorado Rapids,Central Midfield,"$100,000.00","$105,375.00"
Richie,Laryea,Toronto FC,Right-back,"$990,000.00","$1,208,188.00"
Damian,Las,Austin FC,Goalkeeper,"$89,716.00","$89,716.00"
Ariel,Lassiter,CF Montreal,Left Wing,"$240,000.00","$260,280.00"
Randall,Leal,Nashville SC,Left Wing,"$1,000,000.00","$1,115,000.00"
Isaiah,LeFlore,Philadelphia Union,Left-back,"$71,401.00","$80,764.00"
Tim,Leibold,Sporting Kansas City,Left-back,"$600,000.00","$601,050.00"
Brooks,Lennon,Atlanta United,Right-back,"$740,000.00","$740,000.00"
Tucker,Lepley,LA Galaxy,Right Wing,"$71,401.00","$73,087.00"
Jonathan,Lewis,Colorado Rapids,Left Wing,"$410,000.00","$435,000.00"
Danny,Leyva,Seattle Sounders FC,Defensive Midfield,"$235,000.00","$259,900.00"
Nick,Lima,New England Revolution,Right-back,"$375,000.00","$375,000.00"
Jaylin,Lindsey,Charlotte FC,Right-back,"$275,000.00","$311,875.00"
Sebastian,Lletget,FC Dallas,Central Midfield,"$750,000.00","$841,250.00"
Hugo,Lloris,LAFC,Goalkeeper,"$350,000.00","$350,000.00"
Saba,Lobjanidze,Atlanta United,Left Wing,"$900,000.00","$998,750.00"
Robin,Lod,Minnesota United,Left Midfield,"$1,500,000.00","$1,639,375.00"
Nicolás,Lodeiro,Orlando City SC,Attacking Midfield,"$800,000.00","$800,000.00"
Aaron,Long,LAFC,Center-back,"$1,259,760.00","$1,303,044.00"
Kevin,Long,Toronto FC,Center-back,"$250,000.00","$277,500.00"
Matty,Longstaff,Toronto FC,Central Midfield,"$197,000.00","$216,376.00"
Marvin,Loría,Portland Timbers,Right Wing,"$275,000.00","$315,000.00"
Evan,Louro,FC Cincinnati,Goalkeeper,"$89,716.00","$94,716.00"
Daniel,Lovitz,Nashville SC,Left-back,"$556,244.00","$573,744.00"
Damion,Lowe,Philadelphia Union,Center-back,"$300,000.00","$343,333.00"
Favian,Loyola,Orlando City SC,Center Forward,"$71,401.00","$73,536.00"
Rafael,Lucas Cardoso dos Santos,Orlando City SC,Left-back,"$324,996.00","$351,184.00"
Diego,Luna,Real Salt Lake,Left Midfield,"$400,000.00","$448,833.00"
Ben,Lundt,St. Louis City SC,Goalkeeper,"$125,000.00","$137,833.00"
Jack,Lynn,Orlando City SC,Center Forward,"$89,716.00","$89,716.00"
Larrys,Mabiala,Portland Timbers,Center-back,"$350,000.00","$362,500.00"
Aimé,Mabika,Toronto FC,Center-back,"$125,000.00","$133,125.00"
Zac,MacMath,Real Salt Lake,Goalkeeper,"$350,000.00","$350,000.00"
Lukas,MacNaughton,Nashville SC,Center-back,"$100,000.00","$102,100.00"
Jack,Maher,Nashville SC,Center-back,"$700,000.00","$795,467.00"
Cassius,Mailula,Toronto FC,Right Wing,"$300,000.00","$316,003.00"
Olwethu,Makhanya,Philadelphia Union,Center-back,"$225,000.00","$263,875.00"
Adilson,Malanda,Charlotte FC,Center-back,"$325,000.00","$353,083.00"
Elias,Manoel Alves de Paula,New York Red Bulls,Center Forward,"$480,000.00","$557,250.00"
JT,Marcinkowski,San Jose Earthquakes,Goalkeeper,"$400,000.00","$400,000.00"
AJ,Marcucci,New York Red Bulls,Goalkeeper,"$110,000.00","$127,425.00"
Paul,Marie,San Jose Earthquakes,Right-back,"$300,000.00","$332,500.00"
Anthony,Markanich,St. Louis City SC,Left-back,"$89,716.00","$89,716.00"
George,Marks,Charlotte FC,Goalkeeper,"$89,716.00","$89,716.00"
Mikael,Marqués,Minnesota United,Center-back,"$125,000.00","$141,250.00"
Jahkeele,Marshall-Rutty,Toronto FC,Right-back,"$175,000.00","$181,813.00"
David,Martínez,LAFC,Right Wing,"$500,000.00","$500,000.00"
Alonso,Martínez,New York City FC,Right Wing,"$300,000.00","$328,483.00"
Josef,Martínez,CF Montreal,Center Forward,"$1,309,091.00","$1,309,091.00"
José,Martínez,Philadelphia Union,Defensive Midfield,"$600,000.00","$674,167.00"
Ben,Martino,Nashville SC,Goalkeeper,"$89,716.00","$109,966.00"
Thiago,Martins,New York City FC,Center-back,"$2,000,000.00","$2,462,000.00"
Felipe,Martins,Orlando City SC,Central Midfield,"$150,000.00","$150,000.00"
Luís,Martins,Vancouver Whitecaps,Left-back,"$300,000.00","$300,000.00"
Alexandru,Matan,Columbus Crew,Left Wing,"$450,000.00","$483,250.00"
Jimmy,Maurer,FC Dallas,Goalkeeper,"$89,716.00","$113,716.00"
Chris,Mavinga,MLS Pool,Center-back,"$650,000.00","$702,500.00"
Andreas,Maxsø,Colorado Rapids,Center-back,"$1,150,000.00","$1,342,500.00"
Mamadou,Mbacke,LAFC,Center-back,"$175,000.00","$187,750.00"
Olivier,Mbaizo,Philadelphia Union,Right-back,"$350,000.00","$423,589.00"
Hugo,Mbongue,Toronto FC,Center Forward,"$89,716.00","$101,143.00"
John,McCarthy,LA Galaxy,Goalkeeper,"$275,000.00","$290,000.00"
Dax,McCarty,Atlanta United,Central Midfield,"$225,000.00","$256,250.00"
Aiden,McFadden,Atlanta United,Right-back,"$89,716.00","$89,716.00"
Christian,McFarlane,New York City FC,Left-back,"$89,716.00","$112,972.00"
Jack,McGlynn,Philadelphia Union,Central Midfield,"$200,000.00","$226,533.00"
Zac,McGraw,Portland Timbers,Center-back,"$150,000.00","$171,875.00"
Duncan,McGuire,Orlando City SC,Center Forward,"$89,716.00","$99,716.00"
Tommy,McNamara,New England Revolution,Left Wing,"$435,000.00","$435,000.00"
Christopher,McVey,DC United,Center-back,"$252,000.00","$276,300.00"
Ryan,Meara,New York Red Bulls,Goalkeeper,"$294,000.00","$294,000.00"
Cruz,Medina,San Jose Earthquakes,Attacking Midfield,"$110,000.00","$128,394.00"
Tim,Melia,Sporting Kansas City,Goalkeeper,"$625,000.00","$637,500.00"
Edwyn,Mendoza,San Jose Earthquakes,Defensive Midfield,"$71,401.00","$83,841.00"
Jonathan,Mensah,New England Revolution,Center-back,"$450,000.00","$512,500.00"
Lionel,Messi,Inter Miami,Right Wing,"$12,000,000.00","$20,446,667.00"
Matt,Miazga,FC Cincinnati,Center-back,"$1,525,000.00","$1,525,000.00"
Novak,Micovic,LA Galaxy,Goalkeeper,"$150,000.00","$150,000.00"
Djordje,Mihailovic,Colorado Rapids,Attacking Midfield,"$1,350,000.00","$1,675,000.00"
Jovan,Mijatovic,New York City FC,Center Forward,"$650,000.00","$687,500.00"
Kamal,Miller,Portland Timbers,Center-back,"$742,500.00","$767,500.00"
Eric,Miller,Portland Timbers,Right-back,"$89,716.00","$89,716.00"
Tyler,Miller,DC United,Goalkeeper,"$425,000.00","$450,000.00"
Peyton,Miller,New England Revolution,Left-back,"$71,401.00","$73,401.00"
Juan,Mina,New York Red Bulls,Right-back,"$150,000.00","$165,432.00"
João Paulo,Mior,Seattle Sounders FC,Central Midfield,"$1,400,000.00","$1,483,333.00"
Roald,Mitchell,New York Red Bulls,Center Forward,"$71,401.00","$91,809.00"
Shak,Mohammed,Orlando City SC,Right Wing,"$89,716.00","$95,716.00"
Luca,Moisa,Real Salt Lake,Central Midfield,"$71,401.00","$71,401.00"
Shaq,Moore,Nashville SC,Right-back,"$800,000.00","$881,500.00"
Felipe,Mora,Portland Timbers,Center Forward,"$1,275,000.00","$1,472,750.00"
Alfredo,Morales,San Jose Earthquakes,Central Midfield,"$300,000.00","$335,500.00"
Efraín,Morales,Atlanta United,Center-back,"$89,716.00","$97,735.00"
Santiago,Morales,Inter Miami,Attacking Midfield,"$71,401.00","$79,734.00"
Maxi,Moralez,New York City FC,Attacking Midfield,"$480,000.00","$500,000.00"
Steven,Moreira,Columbus Crew,Right-back,"$800,000.00","$882,000.00"
Santiago,Moreno,Portland Timbers,Right Wing,"$550,000.00","$607,500.00"
Lewis,Morgan,New York Red Bulls,Left Wing,"$1,250,000.00","$1,425,000.00"
Aidan,Morris,Columbus Crew,Central Midfield,"$650,000.00","$714,375.00"
Jordan,Morris,Seattle Sounders FC,Left Wing,"$1,683,750.00","$1,693,750.00"
Juan,Mosquera,Portland Timbers,Right-back,"$225,000.00","$291,650.00"
Edwin,Mosquera,Atlanta United,Left Wing,"$400,000.00","$437,000.00"
Cole,Mrowka,Columbus Crew,Attacking Midfield,"$71,401.00","$91,409.00"
Chris,Mueller,Chicago Fire,Right Wing,"$650,004.00","$712,324.00"
Hany,Mukhtar,Nashville SC,Attacking Midfield,"$3,800,000.00","$5,211,667.00"
José,Mulato,FC Dallas,Center Forward,"$89,716.00","$127,899.00"
Daniel,Munie,San Jose Earthquakes,Center-back,"$71,401.00","$71,401.00"
Luis,Muriel,Orlando City SC,Center Forward,"$2,832,817.00","$4,336,150.00"
Jesús,Murillo,LAFC,Center-back,"$500,000.00","$559,500.00"
Ian,Murphy,FC Cincinnati,Center-back,"$89,716.00","$91,966.00"
Jacob,Murrell,DC United,Forward,"$71,401.00","$71,401.00"
Petar,Musa,FC Dallas,Center Forward,"$1,800,000.00","$2,230,000.00"
Trey,Muse,Portland Timbers,Goalkeeper,"$89,716.00","$89,716.00"
Danny,Musovski,Seattle Sounders FC,Center Forward,"$359,091.00","$389,394.00"
Alex,Muyl,Nashville SC,Right Wing,"$525,000.00","$525,000.00"
Tristan,Muyumba,Atlanta United,Defensive Midfield,"$525,000.00","$566,600.00"
Darlington,Nagbe,Columbus Crew,Central Midfield,"$1,400,000.00","$1,540,000.00"
Miguel,Navarro,Colorado Rapids,Left-back,"$300,000.00","$339,000.00"
Federico,Navarro,Chicago Fire,Defensive Midfield,"$500,000.00","$557,500.00"
Rafael,Navarro Leal,Colorado Rapids,Center Forward,"$1,125,000.00","$1,452,708.00"
Logan,Ndenbe,Sporting Kansas City,Left-back,"$400,000.00","$405,000.00"
Jalen,Neal,LA Galaxy,Center-back,"$165,000.00","$178,625.00"
Sean,Nealis,New York Red Bulls,Center-back,"$450,000.00","$526,250.00"
Dylan,Nealis,New York Red Bulls,Right-back,"$247,500.00","$272,500.00"
Jack,Neeley,Charlotte FC,Center-back,"$71,401.00","$73,401.00"
Franco,Negri,Inter Miami,Left-back,"$250,000.00","$342,500.00"
John,Nelson,LA Galaxy,Left-back,"$275,000.00","$291,667.00"
Jake,Nerwinski,St. Louis City SC,Right-back,"$250,000.00","$277,500.00"
Sanders,Ngabo,Philadelphia Union,Central Midfield,"$71,401.00","$87,986.00"
J.C.,Ngando,Vancouver Whitecaps,Defensive Midfield,"$89,716.00","$107,715.00"
Serge,Ngoma,New York Red Bulls,Right Wing,"$89,716.00","$109,668.00"
Sam,Nicholson,Colorado Rapids,Left Midfield,"$350,000.00","$385,313.00"
Joakim,Nilsson,St. Louis City SC,Center-back,"$1,135,000.00","$1,203,500.00"
Nolan,Norris,FC Dallas,Left-back,"$89,716.00","$108,358.00"
Tsiki,Ntsabeleng,FC Dallas,Attacking Midfield,"$89,716.00","$89,716.00"
Obinna,Nwobodo,FC Cincinnati,Defensive Midfield,"$1,310,000.00","$1,444,400.00"
Moses,Nyeman,Minnesota United,Defensive Midfield,"$150,000.00","$168,822.00"
Aidan,O'Connor,New York Red Bulls,Center-back,"$71,401.00","$71,401.00"
Owen,O'Malley,MLS Pool,Right-back,"$71,401.00","$76,401.00"
Shane,O'Neill,Toronto FC,Center-back,"$375,000.00","$413,000.00"
Kevin,O'Toole,New York City FC,Left-back,"$175,000.00","$195,833.00"
Jáder,Obrian,Austin FC,Right Wing,"$495,000.00","$537,300.00"
Emmanuel,Ochoa,San Jose Earthquakes,Goalkeeper,"$160,000.00","$170,071.00"
David,Ochoa,Inter Miami,Defensive Midfield,"$71,401.00","$73,401.00"
Richard,Odada,Philadelphia Union,Central Midfield,"$110,000.00","$130,300.00"
Chituru,Odunze,Charlotte FC,Goalkeeper,"$71,401.00","$84,909.00"
Chinonso,Offor,CF Montreal,Center Forward,"$230,004.00","$287,879.00"
Curtis,Ofori,New York Red Bulls,Left-back,"$89,716.00","$98,466.00"
Braian,Ojeda,Real Salt Lake,Central Midfield,"$600,000.00","$658,653.00"
Agustín,Ojeda,New York City FC,Left Wing,"$480,000.00","$547,833.00"
Martín,Ojeda,Orlando City SC,Left Wing,"$900,000.00","$972,600.00"
Christian,Olivares,St. Louis City SC,Goalkeeper,"$71,401.00","$71,401.00"
Cristian,Olivera,LAFC,Right Wing,"$680,000.00","$680,000.00"
Tani,Oluwaseyi,Minnesota United,Center Forward,"$89,716.00","$89,716.00"
Wyatt,Omsberg,Chicago Fire,Center-back,"$200,000.00","$217,000.00"
Kwadwo,Opoku,CF Montreal,Right Wing,"$344,828.00","$485,055.00"
Arquímides,Ordóñez,FC Cincinnati,Center Forward,"$89,716.00","$93,253.00"
Nathan,Ordaz,LAFC,Center Forward,"$128,500.00","$131,000.00"
Sergio,Oregel,Chicago Fire,Central Midfield,"$89,716.00","$89,716.00"
Luca,Orellano,FC Cincinnati,Right Wing,"$89,716.00","$89,716.00"
Jaziel,Orozco,Real Salt Lake,Defensive Midfield,"$89,716.00","$89,716.00"
Jonathan,Osorio,Toronto FC,Central Midfield,"$788,036.00","$836,369.00"
Tomás,Ostrák,St. Louis City SC,Attacking Midfield,"$700,000.00","$801,000.00"
Javier,Otero,Orlando City SC,Goalkeeper,"$71,401.00","$71,401.00"
Bryan,Oviedo,Real Salt Lake,Left-back,"$375,000.00","$425,826.00"
Prince Osei,Owusu,Toronto FC,Center Forward,"$700,000.00","$807,500.00"
Jonathan,Pérez,LA Galaxy,Left Wing,"$275,000.00","$308,000.00"
Woobens,Pacius,Nashville SC,Center Forward,"$71,401.00","$71,401.00"
Devin,Padelford,Minnesota United,Left-back,"$89,716.00","$96,716.00"
Maarten,Paes,FC Dallas,Goalkeeper,"$325,000.00","$397,000.00"
Joseph,Paintsil,LA Galaxy,Right Wing,"$3,136,000.00","$3,358,000.00"
Nelson,Palacio,Real Salt Lake,Central Midfield,"$330,000.00","$373,167.00"
Sergi,Palencia,LAFC,Right-back,"$350,004.00","$557,504.00"
Jack,Panayotou,New England Revolution,Attacking Midfield,"$89,716.00","$91,716.00"
Elliot,Panicco,Nashville SC,Goalkeeper,"$114,000.00","$114,000.00"
James,Pantemis,Portland Timbers,Goalkeeper,"$125,000.00","$145,833.00"
Cristhian,Paredes,Portland Timbers,Central Midfield,"$580,000.00","$678,000.00"
Nick,Pariano,Philadelphia Union,Attacking Midfield,"$71,401.00","$76,594.00"
Isaiah,Parker,FC Dallas,Left-back,"$100,000.00","$101,000.00"
Tim,Parker,St. Louis City SC,Center-back,"$1,000,000.00","$1,037,500.00"
Keaton,Parks,New York City FC,Defensive Midfield,"$900,000.00","$970,000.00"
Ilijah,Paul,Real Salt Lake,Center Forward,"$89,716.00","$97,229.00"
Tyson,Pearce,St. Louis City SC,Defensive Midfield,"$71,401.00","$71,401.00"
Adam,Pearlman,Toronto FC,Center-back,"$71,401.00","$84,701.00"
Nathan Raphael,Pelae Cardoso,Seattle Sounders FC,Center-back,"$550,000.00","$550,000.00"
Amahl,Pellegrino,San Jose Earthquakes,Left Wing,"$850,000.00","$912,500.00"
Matti,Peltola,DC United,Defensive Midfield,"$681,818.00","$757,818.00"
Andrés,Perea,New York City FC,Defensive Midfield,"$575,000.00","$641,500.00"
Daniel,Pereira,Austin FC,Central Midfield,"$125,000.00","$138,414.00"
Miguel,Perez,St. Louis City SC,Central Midfield,"$71,401.00","$71,401.00"
Jordan,Perruzza,Toronto FC,Center Forward,"$136,500.00","$139,000.00"
Nikola,Petkovic,Charlotte FC,Defensive Midfield,"$360,000.00","$406,250.00"
Luca,Petrasso,Orlando City SC,Left-back,"$95,000.00","$104,024.00"
Raoul,Petretta,Toronto FC,Left-back,"$675,000.00","$906,625.00"
Fafà,Picault,Vancouver Whitecaps,Left Wing,"$650,000.00","$670,000.00"
Selmir,Pidro,St. Louis City SC,Left-back,"$325,000.00","$374,375.00"
Delentz,Pierre,Real Salt Lake,Center-back,"$71,401.00","$76,836.00"
Kayden,Pierre,Sporting Kansas City,Right-back,"$89,716.00","$96,091.00"
Nelson,Pierre,Philadelphia Union,Center Forward,"$71,401.00","$85,517.00"
Samuel,Piette,CF Montreal,Defensive Midfield,"$397,375.00","$434,500.00"
Mauricio,Pineda,Chicago Fire,Center-back,"$345,000.00","$376,220.00"
Malik,Pinto,FC Cincinnati,Defensive Midfield,"$71,401.00","$71,401.00"
Matt,Polster,New England Revolution,Defensive Midfield,"$550,000.00","$591,667.00"
Célio Antonio,Pompeu,St. Louis City SC,Left Wing,"$164,095.00","$198,989.00"
Paxton,Pomykal,FC Dallas,Attacking Midfield,"$950,000.00","$1,058,000.00"
Tomas,Pondeca,FC Dallas,Right Wing,"$71,401.00","$71,401.00"
Alvas,Powell,FC Cincinnati,Right-back,"$250,000.00","$294,500.00"
Ralph,Priso,Vancouver Whitecaps,Defensive Midfield,"$125,000.00","$125,000.00"
Andrew,Privett,Charlotte FC,Center-back,"$71,401.00","$71,401.00"
Riqui,Puig,LA Galaxy,Central Midfield,"$2,349,996.00","$2,449,996.00"
Teemu,Pukki,Minnesota United,Center Forward,"$3,200,000.00","$3,550,000.00"
Alan,Pulido,Sporting Kansas City,Center Forward,"$3,600,000.00","$3,600,000.00"
John,Pulskamp,Sporting Kansas City,Goalkeeper,"$200,000.00","$223,500.00"
Nelson,Quiñónes,Houston Dynamo,Left Wing,"$231,996.00","$252,890.00"
Philip,Quinton,Real Salt Lake,Center-back,"$89,716.00","$89,716.00"
Daniel,Ríos,Atlanta United,Center Forward,"$89,716.00","$126,383.00"
Nemanja,Radoja,Sporting Kansas City,Defensive Midfield,"$1,440,000.00","$1,530,000.00"
Jeremy,Rafanello,Philadelphia Union,Attacking Midfield,"$100,000.00","$107,636.00"
Jackson,Ragen,Seattle Sounders FC,Center-back,"$98,261.00","$98,261.00"
Brooklyn,Raines,Houston Dynamo,Central Midfield,"$100,000.00","$118,063.00"
Christian,Ramirez,Columbus Crew,Center Forward,"$450,000.00","$495,833.00"
Alex,Rando,New York City FC,Goalkeeper,"$71,401.00","$71,401.00"
Greg,Ranjitsingh,Toronto FC,Goalkeeper,"$94,202.00","$94,202.00"
Ryan,Raposo,Vancouver Whitecaps,Left Midfield,"$150,000.00","$155,000.00"
Henrich,Ravas,New England Revolution,Goalkeeper,"$240,000.00","$267,000.00"
Matt,Real,Philadelphia Union,Left-back,"$155,000.00","$171,500.00"
Federico,Redondo,Inter Miami,Defensive Midfield,"$150,000.00","$255,000.00"
João Pedro,Reginaldo,Charlotte FC,Center-back,"$89,716.00","$101,311.00"
Tahir,Reid-Brown,Orlando City SC,Left-back,"$71,401.00","$85,909.00"
Andrés,Reyes,New York Red Bulls,Center-back,"$642,000.00","$792,000.00"
Justin,Reynolds,Chicago Fire,Right-back,"$71,401.00","$71,401.00"
