"tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 5","tablescraper-selected-row 6"
"Max","Anchor","Vancouver Whitecaps","Goalkeeper","$104,000.00","$111,442.00"
"Markus","Anderson","Philadelphia Union","Center Forward","$120,000.00","$122,000.00"
"Owen","Anderson","Real Salt Lake","Attacking Midfield","$80,622.00","$86,512.00"
"Tomás","Ángel","San Diego FC","Center Forward","$325,000.00","$443,750.00"
"Iván","Angulo","Orlando City SC","Left Wing","$525,000.00","$557,660.00"
"Conner","Antley","DC United","Right-back","$104,000.00","$105,667.00"
"Seth","Antwi","St. Louis City SC","Defensive Midfield","$104,000.00","$104,000.00"
"Tah","Anunga","FC Cincinnati","Central Midfield","$104,000.00","$116,500.00"
"Christopher","Applewhite","Nashville SC","Center-back","$80,622.00","$90,067.00"
"César","Araújo","Orlando City SC","Defensive Midfield","$509,000.00","$548,000.00"
"Cristian","Arango","San Jose Earthquakes","Center Forward","$2,000,000.00","$2,216,667.00"
"Max","Arfsten","Columbus Crew","Left Wing","$350,000.00","$389,375.00"
"Paul","Arriola","Seattle Sounders FC","Right Wing","$1,000,000.00","$1,142,500.00"
"Jacob","Arroyave","New York City FC","Central Midfield","$80,622.00","$93,620.00"
"Exon","Arzú","Houston Dynamo","Right Wing","$104,000.00","$108,598.00"
"Josh","Atencio","Colorado Rapids","Defensive Midfield","$350,000.00","$350,000.00"
"Eduard","Atuesta","Orlando City SC","Central Midfield","$600,000.00","$725,000.00"
"Julián","Aude","LA Galaxy","Left-back","$350,000.00","$360,000.00"
"Álvaro","Augusto","FC Dallas","Center-back","$80,622.00","$92,740.00"
"Tomás","Avilés","Inter Miami","Center-back","$439,992.00","$467,492.00"
"Femi","Awodesu","Houston Dynamo","Center-back","$80,622.00","$89,089.00"
"David","Ayala","Portland Timbers","Defensive Midfield","$425,000.00","$477,000.00"
"Roman","Bürki","St. Louis City SC","Goalkeeper","$1,575,000.00","$1,707,469.00"
"Talles Magno","Bacelar Martins","New York City FC","Left Wing","$950,000.00","$1,065,000.00"
"Dominique","Badji","DC United","Center Forward","$400,000.00","$435,000.00"
"Jeevan","Badwal","Vancouver Whitecaps","Central Midfield","$80,622.00","$80,622.00"
"Alexandru","Băluță","LAFC","Right Wing","$720,000.00","$768,900.00"
"Drew","Baiera","New York City FC","Right-back","$104,000.00","$109,936.00"
"Corey","Baird","San Diego FC","Center Forward","$676,534.00","$744,241.00"
"Cody","Baker","Seattle Sounders FC","Right-back","$104,000.00","$109,704.00"
"Reed","Baker-Whiting","Seattle Sounders FC","Left-back","$150,000.00","$158,000.00"
"Jonathan","Bamba","Chicago Fire","Left Wing","$5,000,000.00","$5,581,806.00"
"Daniel","Baran","FC Dallas","Right Wing","$80,622.00","$94,838.00"
"Jesus","Barea","Real Salt Lake","Center Forward","$80,622.00","$82,358.00"
"Tai","Baribo","Philadelphia Union","Center Forward","$700,000.00","$810,000.00"
"Tom","Barlow","Chicago Fire","Center Forward","$300,000.00","$330,000.00"
"Luis","Barraza","DC United","Goalkeeper","$180,000.00","$187,688.00"
"Álvaro","Barreal","FC Cincinnati","Left Wing","$755,000.00","$917,238.00"
"Leonardo","Barroso","Chicago Fire","Right-back","$300,000.00","$345,500.00"
"Jacob","Bartlett","Sporting Kansas City","Defensive Midfield","$80,622.00","$83,622.00"
"Lucas","Bartlett","DC United","Center-back","$450,000.00","$510,625.00"
"Ethan","Bartlow","Houston Dynamo","Center-back","$275,000.00","$275,000.00"
"Cole","Bassett","Colorado Rapids","Attacking Midfield","$850,000.00","$850,000.00"
"Sam","Bassett","Colorado Rapids","Defensive Midfield","$80,622.00","$80,622.00"
"Amine","Bassi","Houston Dynamo","Attacking Midfield","$700,000.00","$700,000.00"
"Zorhan","Bassong","Sporting Kansas City","Central Midfield","$104,000.00","$114,237.00"
"Josh","Bauer","Nashville SC","Center-back","$180,000.00","$203,667.00"
"Timo","Baumgartl","St. Louis City SC","Center-back","$550,000.00","$643,333.00"
"Tanner","Beason","New England Revolution","Center-back","$325,000.00","$325,000.00"
"Adam","Beaudry","Colorado Rapids","Goalkeeper","$104,000.00","$106,500.00"
"Simon","Becher","St. Louis City SC","Center Forward","$218,000.00","$239,273.00"
"Alejandro","Bedoya","Philadelphia Union","Central Midfield","$104,000.00","$204,500.00"
"Jon","Bell","Seattle Sounders FC","Center-back","$135,000.00","$135,000.00"
"Matthew","Bell","Real Salt Lake","Left Wing","$80,622.00","$81,068.00"
"Ben","Bender","Philadelphia Union","Central Midfield","$140,000.00","$150,000.00"
"Christian","Benteke","DC United","Center Forward","$4,500,000.00","$4,937,500.00"
"Nimfasha","Berchimas","Charlotte FC","Left Wing","$110,000.00","$124,934.00"
"Gustav","Berggren","New York Red Bulls","Defensive Midfield","$999,996.00","$1,109,996.00"
"Sebastian","Berhalter","Vancouver Whitecaps","Central Midfield","$385,000.00","$385,000.00"
"Juan","Berrocal","Atlanta United","Center-back","$1,200,000.00","$1,200,000.00"
"Miguel","Berry","LA Galaxy","Center Forward","$225,000.00","$231,667.00"
"Pep","Biel","Charlotte FC","Attacking Midfield","$1,300,000.00","$1,540,563.00"
"Alessandro","Biello","CF Montreal","Central Midfield","$80,622.00","$80,622.00"
"David","Bingham","Charlotte FC","Goalkeeper","$104,000.00","$104,000.00"
"Steve","Birnbaum","Retired","Center-back","$815,000.00","$815,000.00"
"Tristan","Blackmon","Vancouver Whitecaps","Center-back","$800,000.00","$800,000.00"
"Andre","Blake","Philadelphia Union","Goalkeeper","$1,000,000.00","$1,181,250.00"
"Emmanuel","Boateng","San Diego FC","Left Midfield","$300,000.00","$331,500.00"
"Israel","Boatwright","Inter Miami","Right-back","$104,000.00","$106,000.00"
"Isaac","Boehmer","Vancouver Whitecaps","Goalkeeper","$104,000.00","$104,000.00"
"Wiktor","Bogacz","New York Red Bulls","Center Forward","$390,000.00","$516,240.00"
"Dean","Boltz","Chicago Fire","Center Forward","$80,622.00","$82,622.00"
"Luca","Bombino","San Diego FC","Left-back","$80,622.00","$80,622.00"
"Jonathan","Bond","Houston Dynamo","Goalkeeper","$400,000.00","$459,704.00"
"Alex","Bono","New England Revolution","Goalkeeper","$250,000.00","$262,500.00"
"Dylan","Borso","Chicago Fire","Attacking Midfield","$80,622.00","$88,622.00"
"Denis","Bouanga","LAFC","Left Wing","$3,020,000.00","$3,709,500.00"
"Ousseni","Bouda","San Jose Earthquakes","Center Forward","$150,000.00","$152,500.00"
"Giuseppe","Bovalina","Vancouver Whitecaps","Right-back","$104,000.00","$116,980.00"
"Michael","Boxall","Minnesota United","Center-back","$700,000.00","$827,500.00"
"Tyler","Boyd","Nashville SC","Left Wing","$1,100,000.00","$1,105,000.00"
"Chris","Brady","Chicago Fire","Goalkeeper","$249,996.00","$348,329.00"
"Alejandro","Bran","Minnesota United","Central Midfield","$104,000.00","$104,000.00"
"David","Brekalo","Orlando City SC","Center-back","$600,000.00","$683,000.00"
"Luke","Brennan","Atlanta United","Right Midfield","$104,000.00","$104,000.00"
"Sébastian","Breza","CF Montreal","Goalkeeper","$104,000.00","$104,000.00"
"Yannick","Bright","Inter Miami","Defensive Midfield","$80,622.00","$83,647.00"
"Andrew","Brody","Sporting Kansas City","Right-back","$275,000.00","$300,678.00"
"Brandt","Bronico","Charlotte FC","Central Midfield","$350,000.00","$389,000.00"
"Tristan","Brown","Columbus Crew","Left-back","$80,622.00","$84,986.00"
"Javain","Brown","Real Salt Lake","Right-back","$300,000.00","$313,688.00"
"Gastón","Brugman","Nashville SC","Defensive Midfield","$1,200,000.00","$1,409,000.00"
"Snyder","Brunell","Seattle Sounders FC","Defensive Midfield","$80,622.00","$90,648.00"
"Heine Gikling","Bruseth","San Diego FC","Central Midfield","$200,000.00","$242,471.00"
"Pavel","Bucha","FC Cincinnati","Central Midfield","$474,996.00","$523,778.00"
"Noel","Buck","San Jose Earthquakes","Central Midfield","$115,000.00","$115,000.00"
"Jesús","Bueno","Philadelphia Union","Defensive Midfield","$300,000.00","$332,625.00"
"Dawid","Bugaj","CF Montreal","Right-back","$240,000.00","$267,600.00"
"Osman","Bukari","Austin FC","Right Wing","$1,500,000.00","$1,500,000.00"
"Teal","Bunbury","Nashville SC","Center Forward","$250,000.00","$285,000.00"
"Nkosi Tafari","Burgess","LAFC","Center-back","$374,500.00","$374,500.00"
"Leo","Burney","Seattle Sounders FC","Center-back","$80,622.00","$80,622.00"
"Micah","Burton","Austin FC","Attacking Midfield","$104,000.00","$115,000.00"
"Evan","Bush","Columbus Crew","Goalkeeper","$104,000.00","$104,000.00"
"Sergio","Busquets","Inter Miami","Defensive Midfield","$8,499,996.00","$8,774,996.00"
"Brandon","Bye","New England Revolution","Right-back","$425,000.00","$443,813.00"
"Nathan","Byrne","Charlotte FC","Right-back","$475,000.00","$498,750.00"
"Matías","Cóccaro","CF Montreal","Center Forward","$800,000.00","$888,000.00"
"Rafael","Cabral Barbosa","Real Salt Lake","Goalkeeper","$450,000.00","$643,750.00"
"Kenji","Cabrera","Vancouver Whitecaps","Left Wing","$350,000.00","$390,053.00"
"Noel","Caliskan","Real Salt Lake","Central Midfield","$104,000.00","$104,000.00"
"Drake","Callender","Charlotte FC","Goalkeeper","$399,996.00","$455,913.00"
"Rudy","Camacho","Columbus Crew","Center-back","$525,000.00","$601,000.00"
"Brandon","Cambridge","Charlotte FC","Right Wing","$125,000.00","$133,026.00"
"Leonardo","Campana","New England Revolution","Center Forward","$1,250,000.00","$1,372,333.00"
"Reggie","Cannon","Colorado Rapids","Right-back","$750,000.00","$841,500.00"
"Christian","Cappis","FC Dallas","Central Midfield","$242,000.00","$242,000.00"
"Gustavo","Caraballo","Orlando City SC","Right Wing","$80,622.00","$86,997.00"
"Felipe","Carballo","Portland Timbers","Central Midfield","$950,000.00","$988,333.00"
"Wikelman","Carmona","New York Red Bulls","Attacking Midfield","$495,000.00","$500,000.00"
"Máximo","Carrizo","New York City FC","Central Midfield","$104,000.00","$137,523.00"
"Wilder","Cartagena","Orlando City SC","Defensive Midfield","$480,000.00","$520,250.00"
"Julio","Cascante","Austin FC","Center-back","$780,000.00","$853,750.00"
"Jacob","Castro","Seattle Sounders FC","Goalkeeper","$104,000.00","$104,000.00"
"Nico","Cavallo","New York City FC","Left-back","$80,622.00","$82,470.00"
"Brayan","Ceballos","New England Revolution","Center-back","$725,000.00","$805,625.00"
"Roman","Celentano","FC Cincinnati","Goalkeeper","$425,000.00","$474,000.00"
"Edwin","Cerrillo","LA Galaxy","Defensive Midfield","$525,000.00","$537,500.00"
"Dylan","Chambost","Columbus Crew","Attacking Midfield","$450,000.00","$557,219.00"
"Tomás","Chancalay","New England Revolution","Left Wing","$1,000,000.00","$1,060,000.00"
"Kieran","Chandler","Minnesota United","Left-back","$80,622.00","$80,622.00"
"Maxime","Chanot","Retired","Center-back","$400,000.00","$400,000.00"
"Diego","Chará","Portland Timbers","Central Midfield","$725,000.00","$725,000.00"
"Yevgen","Cheberko","Columbus Crew","Center-back","$610,000.00","$658,250.00"
"Ștefan","Chirilă","FC Cincinnati","Center Forward","$80,622.00","$95,402.00"
"Mathieu","Choinière","LAFC","Central Midfield","$698,780.00","$698,780.00"
"Dominik","Chong Qui","Atlanta United","Left-back","$80,622.00","$80,622.00"
"Eric-Maxim","Choupo-Moting","New York Red Bulls","Center Forward","$3,200,000.00","$3,530,667.00"
"José","Cifuentes","Toronto FC","Central Midfield","$1,210,000.00","$1,405,000.00"
"Markus","Cimermancic","Toronto FC","Central Midfield","$80,622.00","$94,478.00"
"Caden","Clark","DC United","Attacking Midfield","$375,000.00","$407,000.00"
"Stefan","Cleveland","Austin FC","Goalkeeper","$250,000.00","$274,167.00"
"Noah","Cobb","Atlanta United","Center-back","$109,000.00","$109,000.00"
"Alonso","Coello","Toronto FC","Central Midfield","$200,012.00","$235,012.00"
"Josh","Cohen","Atlanta United","Goalkeeper","$289,992.00","$328,492.00"
"Michael","Collodi","FC Dallas","Goalkeeper","$104,000.00","$116,425.00"
"Theo","Corbeanu","Toronto FC","Right Wing","$365,000.00","$411,625.00"
"Matthew","Corcoran","Nashville SC","Defensive Midfield","$80,622.00","$102,890.00"
"Gabriel","Cordeiro Pirani","DC United","Attacking Midfield","$725,000.00","$791,700.00"
"Carlos","Coronel","New York Red Bulls","Goalkeeper","$550,000.00","$599,649.00"
"Vítor","Costa","San Jose Earthquakes","Left-back","$375,000.00","$413,333.00"
"Baye","Coulibaly","Charlotte FC","Defensive Midfield","$240,000.00","$269,500.00"
"Chance","Cowell","San Jose Earthquakes","Left Wing","$104,000.00","$104,000.00"
"Maxime","Crépeau","Portland Timbers","Goalkeeper","$585,000.00","$648,333.00"
"Brandan","Craig","CF Montreal","Center-back","$80,622.00","$90,427.00"
"Benja","Cremaschi","Inter Miami","Central Midfield","$400,000.00","$502,500.00"
"Andrés","Cubas","Vancouver Whitecaps","Defensive Midfield","$1,050,000.00","$1,146,375.00"
"Mauricio","Cuevas","LA Galaxy","Right-back","$150,000.00","$168,500.00"
"Antônio Carlos","Cunha Capocasali Junior","Houston Dynamo","Center-back","$699,996.00","$782,672.00"
"Christopher","Cupps","Chicago Fire","Center-back","$80,622.00","$83,408.00"
"Hugo","Cuypers","Chicago Fire","Center Forward","$3,238,000.00","$3,528,044.00"
"Djé","D'Avilla","Chicago Fire","Defensive Midfield","$548,004.00","$660,490.00"
"David","Da Costa","Portland Timbers","Attacking Midfield","$2,725,000.00","$3,425,000.00"
"Kaick","da Silva Ferreira","FC Dallas","Defensive Midfield","$150,000.00","$201,900.00"
"Evander","da Silva Ferreira","FC Cincinnati","Attacking Midfield","$3,200,000.00","$4,736,411.00"
"Guilherme","da Trindade Dubas","Austin FC","Left-back","$275,000.00","$275,000.00"
"Jefferson","Díaz","Minnesota United","Center-back","$380,000.00","$380,000.00"
"Bruno","Damiani","Philadelphia Union","Center Forward","$600,000.00","$726,700.00"
"Jake","Davis","Sporting Kansas City","Right-back","$400,000.00","$412,500.00"
"Sean","Davis","MLS Pool","Central Midfield","$925,000.00","$1,039,000.00"
"Eddy","Davis III","Philadelphia Union","Center Forward","$80,622.00","$82,622.00"
"Ocimar","de Almeida Júnior","Houston Dynamo","Central Midfield","$104,000.00","$123,533.00"
"Felipe","de Andrade Vieira","Houston Dynamo","Center-back","$180,000.00","$207,500.00"
"Geovane","de Jesus Rocha","FC Dallas","Right-back","$350,000.00","$397,000.00"
"Luca","de la Torre","San Diego FC","Central Midfield","$1,444,528.00","$1,644,295.00"
"Pedro","de la Vega","Seattle Sounders FC","Right Wing","$1,000,000.00","$1,379,000.00"
"José Artur","de Lima Júnior","Houston Dynamo","Defensive Midfield","$810,000.00","$893,375.00"
"Rodrigo","De Paul","Inter Miami","Central Midfield","$1,500,000.00","$3,619,320.00"
"Osaze","De Rosario","Seattle Sounders FC","Center Forward","$80,622.00","$80,622.00"
"Adisa","De Rosario","Toronto FC","Goalkeeper","$80,622.00","$97,235.00"
"Daniel","de Sousa Britto","San Jose Earthquakes","Goalkeeper","$700,000.00","$742,500.00"
"Jonathan","Dean","Chicago Fire","Right-back","$130,000.00","$138,167.00"
"Louicius","Deedson","FC Dallas","Right Wing","$280,000.00","$330,319.00"
"Patrickson","Delgado","FC Dallas","Defensive Midfield","$234,000.00","$260,280.00"
"Mark","Delgado","LAFC","Central Midfield","$1,000,000.00","$1,000,000.00"
"Lorenzo","Dellavalle","LAFC","Center-back","$104,000.00","$107,750.00"
"Kévin","Denkey","FC Cincinnati","Center Forward","$3,800,000.00","$3,810,000.00"
"Mikkel","Desler","Austin FC","Right-back","$550,000.00","$550,000.00"
"Djibril","Diani","Charlotte FC","Defensive Midfield","$300,000.00","$337,944.00"
"Mamadou","Dieng","Minnesota United","Center Forward","$80,622.00","$83,769.00"
"Mateja","Djordjević","Austin FC","Center-back","$337,500.00","$347,500.00"
"Derek","Dodson","DC United","Right-back","$104,000.00","$110,250.00"
"Maxime","Dominguez","Toronto FC","Central Midfield","$235,000.00","$337,577.00"
"Ronald","Donkor","New York Red Bulls","Central Midfield","$140,000.00","$165,400.00"
"Chris","Donovan","Philadelphia Union","Center Forward","$180,000.00","$200,156.00"
"Griffin","Dorsey","Houston Dynamo","Right-back","$590,000.00","$696,333.00"
"CJ","dos Santos","San Diego FC","Goalkeeper","$300,000.00","$340,875.00"
"Hassani","Dotson","Minnesota United","Central Midfield","$625,000.00","$682,500.00"
"Souleyman","Doumbia","Charlotte FC","Left-back","$500,000.00","$541,250.00"
"Bryan","Dowd","Chicago Fire","Goalkeeper","$80,622.00","$80,622.00"
"Anders","Dreyer","San Diego FC","Right Wing","$2,117,647.00","$2,434,314.00"
"Manu","Duah","San Diego FC","Defensive Midfield","$80,622.00","$84,622.00"
"Nicolás","Dubersarsky","Austin FC","Central Midfield","$275,000.00","$297,986.00"
"Érik","Dueñas","Houston Dynamo","Central Midfield","$150,000.00","$170,625.00"
"Morris","Duggan","Minnesota United","Center-back","$80,622.00","$80,622.00"
"Bryce","Duke","CF Montreal","Attacking Midfield","$350,000.00","$431,875.00"
"Kyle","Duncan","New York Red Bulls","Right-back","$500,000.00","$555,750.00"
"Chris","Durkin","St. Louis City SC","Defensive Midfield","$475,000.00","$520,000.00"
"Leo","Duru","San Diego FC","Right-back","$80,622.00","$98,234.00"
"Jeremy","Ebobisse","LAFC","Center Forward","$680,000.00","$680,000.00"
"Ender","Echenique","FC Cincinnati","Right Wing","$324,000.00","$414,180.00"
"Daniel","Edelman","New York Red Bulls","Defensive Midfield","$465,000.00","$465,000.00"
"Matthew","Edwards","Atlanta United","Right-back","$80,622.00","$80,622.00"
"Raheem","Edwards","New York Red Bulls","Left-back","$375,000.00","$414,340.00"
"Nathaniel","Edwards","Toronto FC","Left Midfield","$80,622.00","$86,604.00"
"Michael","Edwards","Colorado Rapids","Center-back","$160,000.00","$160,000.00"
"Earl","Edwards Jr.","San Jose Earthquakes","Goalkeeper","$200,000.00","$210,250.00"
"Noah","Eile","New York Red Bulls","Center-back","$440,000.00","$493,200.00"
"Wilson","Eisner","San Jose Earthquakes","Right-back","$80,622.00","$80,622.00"
"Maximus","Ekk","Nashville SC","Center Forward","$80,622.00","$80,622.00"
"Jack","Elliott","Chicago Fire","Center-back","$914,773.00","$1,008,537.00"
"Rayan","Elloumi","Vancouver Whitecaps","Center Forward","$80,622.00","$96,268.00"
"Herbert","Endeley","FC Dallas","Right-back","$104,000.00","$104,000.00"
"Emeka","Eneli","Real Salt Lake","Defensive Midfield","$375,000.00","$416,000.00"
"Lukas","Engel","FC Cincinnati","Left-back","$750,000.00","$825,781.00"
"Lawrence","Ennali","Houston Dynamo","Left Wing","$475,000.00","$549,250.00"
"Boris","Enow","DC United","Central Midfield","$500,000.00","$613,900.00"
"Olger","Escobar","CF Montreal","Attacking Midfield","$80,622.00","$86,018.00"
"Franco","Escobar","Houston Dynamo","Right-back","$550,000.00","$599,167.00"
"Cristian","Espinoza","San Jose Earthquakes","Right Wing","$1,820,000.00","$2,002,000.00"
"Ascel","Essengue","LA Galaxy","Center-back","$80,622.00","$80,622.00"
"Derrick","Etienne Jr.","Toronto FC","Left Wing","$745,566.00","$745,566.00"
"Ali","Fadal","Colorado Rapids","Central Midfield","$80,622.00","$80,622.00"
"Diego","Fagúndez","LA Galaxy","Left Wing","$1,250,000.00","$1,310,000.00"
"Maximiliano","Falcón","Inter Miami","Center-back","$450,000.00","$524,250.00"
"Fallou","Fall","St. Louis City SC","Center-back","$364,000.00","$462,419.00"
"Alexis","Fariña","Minnesota United","Attacking Midfield","$104,000.00","$172,500.00"
"Jimmy","Farkarlun","Austin FC","Right Wing","$80,622.00","$80,622.00"
"Zack","Farnsworth","Real Salt Lake","Center-back","$80,622.00","$80,622.00"
"Jordan","Farr","DC United","Goalkeeper","$104,000.00","$109,000.00"
"Andrew","Farrell","New England Revolution","Center-back","$175,000.00","$175,000.00"
"Logan","Farrington","FC Dallas","Center Forward","$104,000.00","$141,493.00"
"Mohamed","Farsi","Columbus Crew","Right Midfield","$425,000.00","$455,000.00"
"Ilay","Feingold","New England Revolution","Right-back","$575,000.00","$575,000.00"
"Julián","Fernández","New York City FC","Right Wing","$660,000.00","$724,300.00"
"Joaquín","Fernández","Sporting Kansas City","Center-back","$1,000,000.00","$1,072,083.00"
"Nicolás","Fernández Mercau","New York City FC","Attacking Midfield","$3,650,000.00","$3,650,000.00"
"Omir","Fernandez","Portland Timbers","Right Wing","$600,000.00","$661,875.00"
"Nick","Fernandez","San Jose Earthquakes","Defensive Midfield","$80,622.00","$82,526.00"
"Duran","Ferree","San Diego FC","Goalkeeper","$80,622.00","$80,622.00"
"Jesús","Ferreira","Seattle Sounders FC","Center Forward","$1,585,227.00","$1,828,960.00"
"Dominik","Fitz","Minnesota United","Attacking Midfield","$850,000.00","$853,000.00"
"Kristian","Fletcher","DC United","Center Forward","$150,000.00","$169,509.00"
"Nicolas","Fleuriau Chateau","Vancouver Whitecaps","Center Forward","$80,622.00","$80,622.00"
"Gilberto","Flores","FC Cincinnati","Center-back","$364,992.00","$411,664.00"
"Max","Floriani","San Jose Earthquakes","Center-back","$80,622.00","$83,122.00"
"CJ","Fodrey","Austin FC","Left Wing","$104,000.00","$108,000.00"
"Mamadou","Fofana","New England Revolution","Center-back","$500,000.00","$616,250.00"
"Pedro Henrique","Fonseca de Araújo Martins","FC Dallas","Right Wing","$104,000.00","$104,000.00"
"Jahlane","Forbes","Charlotte FC","Left-back","$80,622.00","$80,622.00"
"Emil","Forsberg","New York Red Bulls","Left Wing","$5,405,000.00","$6,035,625.00"
"Gabriel","Fortes Chaves","LA Galaxy","Right Wing","$1,680,000.00","$2,459,000.00"
"Ajani","Fortune","Atlanta United","Central Midfield","$109,000.00","$109,000.00"
"Jimer","Fory","Portland Timbers","Left-back","$335,000.00","$355,000.00"
"André","Franco","Chicago Fire","Attacking Midfield","$650,000.00","$697,083.00"
"Kobe","Franklin","Toronto FC","Right-back","$125,000.00","$135,802.00"
"Ian","Fray","Inter Miami","Center-back","$150,000.00","$150,000.00"
"Wayne","Frederick","Colorado Rapids","Central Midfield","$104,000.00","$104,000.00"
"Alex","Freeman","Orlando City SC","Right-back","$104,000.00","$108,000.00"
"Matt","Freese","New York City FC","Goalkeeper","$400,000.00","$491,667.00"
"Stefan","Frei","Seattle Sounders FC","Goalkeeper","$600,000.00","$600,000.00"
"Malcolm","Fry","New England Revolution","Right Wing","$90,000.00","$95,560.00"
"Yeimar","Gómez Andrade","Seattle Sounders FC","Center-back","$800,000.00","$882,500.00"
"Julian","Gaines","Nashville SC","Right-back","$80,622.00","$80,622.00"
"Jeff","Gal","Chicago Fire","Goalkeeper","$140,000.00","$140,000.00"
"Jon","Gallagher","Austin FC","Right-back","$375,000.00","$375,000.00"
"Pedro","Gallese","Orlando City SC","Goalkeeper","$960,000.00","$1,249,333.00"
"Ignatius","Ganago","New England Revolution","Center Forward","$1,300,000.00","$1,300,000.00"
"Diego","García","FC Dallas","Central Midfield","$80,622.00","$94,263.00"
"Manu","García","Sporting Kansas City","Attacking Midfield","$2,100,000.00","$2,325,313.00"
"Carlos","Garcés","LA Galaxy","Center-back","$429,999.96","$468,000.00"
"Chase","Gasper","Chicago Fire","Left-back","$575,000.00","$600,000.00"
"Ryan","Gauld","Vancouver Whitecaps","Attacking Midfield","$3,500,000.00","$3,675,000.00"
"Luka","Gavran","Toronto FC","Goalkeeper","$104,000.00","$128,475.00"
"Dániel","Gazdag","Columbus Crew","Attacking Midfield","$2,000,004.00","$2,597,643.00"
"Emil","Gazdov","CF Montreal","Goalkeeper","$80,622.00","$88,769.00"
"Owen","Gene","Minnesota United","Central Midfield","$400,000.00","$430,100.00"
"Joran","Gerbet","Orlando City SC","Defensive Midfield","$80,622.00","$80,622.00"
"Samuel","Gidi","FC Cincinnati","Central Midfield","$540,000.00","$611,050.00"
"Carles","Gil","New England Revolution","Attacking Midfield","$4,250,000.00","$4,702,083.00"
"Thomas","Gillier","CF Montreal","Goalkeeper","$445,000.00","$487,000.00"
"Blake","Gillingham","Houston Dynamo","Goalkeeper","$80,622.00","$80,622.00"
"Jake","Girdwood-Reich","St. Louis City SC","Center-back","$242,250.00","$281,027.00"
"Dennis","Gjengaar","New York Red Bulls","Right Wing","$360,000.00","$418,769.00"
"Justen","Glad","Real Salt Lake","Center-back","$1,150,000.00","$1,330,000.00"
"Omari","Glasgow","Chicago Fire","Right Midfield","$104,000.00","$117,685.00"
"Jakob","Glesnes","Philadelphia Union","Center-back","$1,100,000.00","$1,310,000.00"
"Caden","Glover","St. Louis City SC","Center Forward","$104,000.00","$109,000.00"
"Aníbal","Godoy","San Diego FC","Defensive Midfield","$375,000.00","$408,333.00"
"Nicksoen","Gomis","Toronto FC","Center-back","$80,622.00","$80,622.00"
"Diogo","Gonçalves","Real Salt Lake","Left Wing","$1,650,000.00","$1,797,108.00"
"Omar","González","Chicago Fire","Center-back","$104,000.00","$123,333.00"
"Archie","Goodwin","Charlotte FC","Center Forward","$300,000.00","$341,187.00"
"Ashton","Gordon","Atlanta United","Right Wing","$80,622.00","$80,622.00"
